Exchange,Name,Root Ticker,Sector,SubSector,Listing Type,Date of TSX ListingYYYYMMDD,HQLocation,HQRegion
TSX,Stornoway Diamond Corporation,SWY,Mining,,TSXV Grad,20041014,BC,Canada
TSX,Sulliden Mining Capital Inc.,SMC,Mining,,Other,20140811,ON,Canada
TSX,Talon Metals Corp.,TLO,Mining,,TSXV Grad,20050413,Brazil,Latin America
TSX,Tanzanian Gold Corporation,TNX,Mining,,Other,20011029,BC,Canada
TSX,Taseko Mines Limited,TKO,Mining,,TSXV Grad,20060308,BC,Canada
TSX,Teck Resources Limited,TECK,Mining,,,19520325,BC,Canada
TSX,Teranga Gold Corporation,TGZ,Mining,,IPO,20101207,ON,Canada
TSX,Titan Mining Corporation,TI,Mining,,IPO,20171019,BC,Canada
TSX,TMAC Resources Inc.,TMR,Mining,,IPO,20150707,ON,Canada
TSX,Torex Gold Resources Inc.,TXG,Mining,,TSXV Grad,20100224,ON,Canada
TSX,Treasury Metals Inc.,TML,Mining,,Other,20080819,ON,Canada
TSX,Trevali Mining Corporation,TV,Mining,,Other,20101007,BC,Canada
TSX,Trilogy Metals Inc.,TMQ,Mining,,Other,20120425,BC,Canada
TSX,TriMetals Mining Inc.,TMI,Mining,,IPO,20070216,BC,Canada
TSX,Troilus Gold Corp.,TLG,Mining,,TSXV Grad,20181017,ON,Canada
TSX,Turquoise Hill Resources Ltd.,TRQ,Mining,,,19960626,BC,Canada
TSX,U3O8 Corp.,UWE,Mining,,TSXV Grad,20120827,ON,Canada
TSX,UEX Corporation,UEX,Mining,,IPO,20020716,BC,Canada
TSX,Ur-Energy Inc.,URE,Mining,,IPO,20051128,USA,USA
TSX,Verde Agritech Plc,NPK,Mining,Agriculture,TSXV Grad,20120411,Brazil,Latin America
TSX,Vista Gold Corp.,VGZ,Mining,,,19841019,USA,USA
TSX,Wallbridge Mining Company Limited,WM,Mining,,,20000724,ON,Canada
TSX,Wesdome Gold Mines Ltd.,WDO,Mining,,Other,19890309,ON,Canada
TSX,Western Copper and Gold Corporation,WRN,Mining,,Other,20060515,BC,Canada
TSX,Western Resources Corp.,WRX,Mining,Agriculture,TSXV Grad,20110712,BC,Canada
TSX,Wheaton Precious Metals Corp.,WPM,Mining,,TSXV Grad,20041022,BC,Canada
TSX,Xanadu Mines Ltd.,XAM,Mining,,Other,20181018,Australia,Australia/NZ/PNG
TSX,Xtra-Gold Resources Corp.,XTG,Mining,,IPO,20101123,ON,Canada
TSX,Yamana Gold Inc.,YRI,Mining,,,19950209,ON,Canada
TSX,Yorbeau Resources Inc.,YRB,Mining,,,19870917,Quebec,Canada
TSX,BCE Inc.,BCE,Comm & Media,,,19050711,Quebec,Canada
TSX,Cineplex Inc.,CGX,Comm & Media,,IPO,20031125,ON,Canada
TSX,Cogeco Communications Inc.,CCA,Comm & Media,,,19930705,Quebec,Canada
TSX,Cogeco Inc.,CGO,Comm & Media,,,19861203,Quebec,Canada
TSX,Corus Entertainment Inc.,CJR,Comm & Media,,Other,19990903,ON,Canada
TSX,DHX Media Ltd.,DHX,Comm & Media,,IPO,20060518,NS,Canada
TSX,Glacier Media Inc.,GVC,Comm & Media,,,19810406,BC,Canada
TSX,GVIC Communications Corp.,GCT,Comm & Media,,Other,20070709,BC,Canada
TSX,Kew Media Group Inc.,KEW,Comm & Media,,QA,20170323,ON,Canada
TSX,Postmedia Network Canada Corp.,PNC,Comm & Media,,Other,20110614,ON,Canada
TSX,Quebecor Inc.,QBR,Comm & Media,,,19830920,Quebec,Canada
TSX,Rogers Communications Inc.,RCI,Comm & Media,,,19710401,ON,Canada
TSX,Shaw Communications Inc.,SJR,Comm & Media,,,19830325,AB,Canada
TSX,Stingray Group Inc.,RAY,Comm & Media,,IPO,20150603,Quebec,Canada
TSX,TELUS Corporation,T,Comm & Media,,,19990201,BC,Canada
TSX,TeraGo Inc.,TGO,Comm & Media,,IPO,20070625,ON,Canada
TSX,Thomson Reuters Corporation,TRI,Comm & Media,,,19800313,ON,Canada
TSX,Torstar Corporation,TS,Comm & Media,,,19700522,ON,Canada
TSX,Transcontinental Inc.,TCL,Comm & Media,,,19850321,Quebec,Canada
TSX,Trilogy International Partners Inc.,TRL,Comm & Media,,QA,20170209,USA,USA
TSX,TVA Group Inc.,TVA,Comm & Media,,,19801113,Quebec,Canada
TSX,Yellow Pages Digital & Media Solutions Limited,YPG,Comm & Media,,Other,20121220,Quebec,Canada
TSX,Yellow Pages Limited,Y,Comm & Media,,IPO,20030728,Quebec,Canada
TSX,A&W Revenue Royalties Income Fund,AW,Consumer Products & Services,Consumer Discretionary,,20020214,BC,Canada
TSX,Aimia Inc.,AIM,Consumer Products & Services,Consumer Discretionary,IPO,20050628,Quebec,Canada
TSX,Air Canada,AC,Consumer Products & Services,Consumer Discretionary,IPO,20061123,Quebec,Canada
TSX,AirBoss of America Corp.,BOS,Consumer Products & Services,Consumer Discretionary,,19920603,ON,Canada
TSX,Alcanna Inc.,CLIQ,Consumer Products & Services,Consumer Staples,IPO,20040927,AB,Canada
TSX,Alimentation Couche-Tard Inc.,ATD,Consumer Products & Services,Consumer Staples,Other,19991206,Quebec,Canada
TSX,Andrew Peller Limited/Andrew Peller Limitee,ADW,Consumer Products & Services,Consumer Staples,,19720829,ON,Canada
TSX,Aritzia Inc.,ATZ,Consumer Products & Services,Consumer Discretionary,IPO,20161003,BC,Canada
TSX,AutoCanada Inc.,ACQ,Consumer Products & Services,Consumer Discretionary,IPO,20060510,AB,Canada
TSX,Big Rock Brewery Inc.,BR,Consumer Products & Services,Consumer Staples,,19970225,AB,Canada
TSX,BMTC Group Inc.,GBT,Consumer Products & Services,Consumer Discretionary,,19991206,Quebec,Canada
TSX,Boston Pizza Royalties Income Fund,BPF,Consumer Products & Services,Consumer Discretionary,,20020716,BC,Canada
TSX,BRP Inc.,DOO,Consumer Products & Services,Consumer Discretionary,IPO,20130529,Quebec,Canada
TSX,Canada Goose Holdings Inc.,GOOS,Consumer Products & Services,Consumer Discretionary,IPO,20170321,ON,Canada
TSX,Canadian Tire Corporation Limited,CTC,Consumer Products & Services,Consumer Discretionary,,19450102,ON,Canada
TSX,CIBT Education Group Inc.,MBA,Consumer Products & Services,Consumer Discretionary,TSXV Grad,20100526,BC,Canada
TSX,Colabor Group Inc.,GCL,Consumer Products & Services,Consumer Staples,IPO,20050627,Quebec,Canada
TSX,Corby Spirit and Wine Limited,CSW,Consumer Products & Services,Consumer Staples,,19690203,ON,Canada
TSX,Cott Corporation,BCB,Consumer Products & Services,Consumer Staples,,19861210,USA,USA
TSX,CPI Card Group Inc.,PMTS,Consumer Products & Services,Consumer Discretionary,IPO,20151015,USA,USA
TSX,Dollarama Inc.,DOL,Consumer Products & Services,Consumer Discretionary,IPO,20091015,Quebec,Canada
TSX,Domtar Corporation,UFS,Consumer Products & Services,Forest Products & Paper,Other,20070305,Quebec,Canada
TSX,Dorel Industries Inc.,DII,Consumer Products & Services,Consumer Discretionary,,19900712,Quebec,Canada
TSX,Empire Company Limited,EMP,Consumer Products & Services,Consumer Staples,,19820709,NS,Canada
TSX,Fire & Flower Holdings Corp.,FAF,Consumer Products & Services,Cannabis,TSXV Grad,20190807,ON,Canada
TSX,Freshii Inc.,FRII,Consumer Products & Services,Consumer Discretionary,IPO,20170131,ON,Canada
TSX,Gamehost Inc.,GH,Consumer Products & Services,Consumer Discretionary,TSXV Grad,20080516,AB,Canada
TSX,George Weston Limited,WN,Consumer Products & Services,Consumer Staples,,19290419,ON,Canada
TSX,Gildan Activewear Inc.,GIL,Consumer Products & Services,Consumer Discretionary,,19980624,Quebec,Canada
TSX,Goodfood Market Corp.,FOOD,Consumer Products & Services,Consumer Staples,TSXV Grad,20170607,Quebec,Canada
TSX,Great Canadian Gaming Corporation,GC,Consumer Products & Services,Consumer Discretionary,TSXV Grad,20040319,BC,Canada
TSX,High Liner Foods Incorporated,HLF,Consumer Products & Services,Consumer Staples,,19710115,NS,Canada
TSX,Hudson's Bay Company,HBC,Consumer Products & Services,Consumer Discretionary,IPO,20121126,ON,Canada
TSX,iFabric Corp.,IFA,Consumer Products & Services,Consumer Discretionary,TSXV Grad,20150918,ON,Canada
TSX,Indigo Books & Music Inc.,IDG,Consumer Products & Services,Consumer Discretionary,,19961204,ON,Canada
TSX,Jamieson Wellness Inc.,JWEL,Consumer Products & Services,Consumer Discretionary,IPO,20170707,ON,Canada
TSX,Keg Royalties Income Fund (The),KEG,Consumer Products & Services,Consumer Discretionary,,20020530,BC,Canada
TSX,Lassonde Industries Inc.,LAS,Consumer Products & Services,Consumer Staples,,19991206,Quebec,Canada
TSX,Leon's Furniture Limited,LNF,Consumer Products & Services,Consumer Discretionary,,19691111,ON,Canada
TSX,Loblaw Companies Limited,L,Consumer Products & Services,Consumer Staples,,19560313,ON,Canada
TSX,LXRandCo Inc.,LXR,Consumer Products & Services,Consumer Discretionary,QA,20170614,ON,Canada
TSX,Maple Leaf Foods Inc.,MFI,Consumer Products & Services,Consumer Staples,,19950424,ON,Canada
TSX,MAV Beauty Brands Inc.,MAV,Consumer Products & Services,Consumer Discretionary,IPO,20180710,ON,Canada
TSX,Metro Inc.,MRU,Consumer Products & Services,Consumer Staples,,19930119,Quebec,Canada
TSX,Molson Coors Canada Inc.,TPX,Consumer Products & Services,Consumer Staples,,19450302,ON,Canada
TSX,MTY Food Group Inc.,MTY,Consumer Products & Services,Consumer Discretionary,TSXV Grad,20100513,Quebec,Canada
TSX,New Look Vision Group Inc.,BCI,Consumer Products & Services,Consumer Discretionary,,19991206,Quebec,Canada
TSX,North West Company Inc.,NWC,Consumer Products & Services,Consumer Staples,,19970407,MB,Canada
TSX,Park Lawn Corporation,PLC,Consumer Products & Services,Consumer Discretionary,TSXV Grad,20161019,ON,Canada
TSX,Pizza Pizza Royalty Corp.,PZA,Consumer Products & Services,Consumer Discretionary,IPO,20050705,ON,Canada
TSX,Pollard Banknote Limited,PBL,Consumer Products & Services,Consumer Discretionary,IPO,20050804,MB,Canada
TSX,Premium Brands Holdings Corporation,PBH,Consumer Products & Services,Consumer Staples,,19961203,BC,Canada
TSX,Recipe Unlimited Corporation,RECP,Consumer Products & Services,Consumer Discretionary,IPO,20150410,ON,Canada
TSX,Reitmans (Canada) Limited,RET,Consumer Products & Services,Consumer Discretionary,,19591105,ON,Canada
TSX,Restaurant Brands International Inc.,QSR,Consumer Products & Services,Consumer Discretionary,Other,20141212,ON,Canada
TSX,Restaurant Brands International Limited Partnership,QSP,Consumer Products & Services,Consumer Discretionary,Other,20141212,ON,Canada
TSX,Rogers Sugar Inc.,RSI,Consumer Products & Services,Consumer Staples,,19971205,Quebec,Canada
TSX,Roots Corporation,ROOT,Consumer Products & Services,Consumer Discretionary,IPO,20171025,ON,Canada
TSX,Saputo Inc.,SAP,Consumer Products & Services,Consumer Staples,,19971015,Quebec,Canada
TSX,Second Cup Ltd. (The),SCU,Consumer Products & Services,Consumer Discretionary,IPO,20041201,ON,Canada
TSX,SIR Royalty Income Fund,SRV,Consumer Products & Services,Consumer Discretionary,IPO,20041008,ON,Canada
TSX,Sleep Country Canada Holdings Inc.,ZZZ,Consumer Products & Services,Consumer Discretionary,IPO,20150716,ON,Canada
TSX,Spin Master Corp.,TOY,Consumer Products & Services,Consumer Discretionary,IPO,20150730,ON,Canada
TSX,Supremex Inc.,SXP,Consumer Products & Services,Forest Products & Paper,IPO,20060330,Quebec,Canada
TSX,Swiss Water Decaffeinated Coffee Inc.,SWP,Consumer Products & Services,Consumer Staples,,20020723,BC,Canada
TSX,Transat A.T. Inc.,TRZ,Consumer Products & Services,Consumer Discretionary,,19930330,Quebec,Canada
TSX,TWC Enterprises Limited,TWC,Consumer Products & Services,Consumer Discretionary,,19971224,ON,Canada
TSX,Uni-Select Inc.,UNS,Consumer Products & Services,Consumer Discretionary,,19920909,Quebec,Canada
TSX,Unisync Corp.,UNI,Consumer Products & Services,Consumer Discretionary,TSXV Grad,20190114,ON,Canada
TSX,Waterloo Brewing Ltd.,WBR,Consumer Products & Services,Consumer Staples,,19861211,ON,Canada
TSX,Aberdeen International Inc.,AAB,Financial Services,,TSXV Grad,20080130,ON,Canada
TSX,Acasta Enterprises Inc.,AEF,Financial Services,,QA,20170106,ON,Canada
TSX,Accord Financial Corp.,ACD,Financial Services,,,19920617,ON,Canada
TSX,AGF Management Limited,AGF,Financial Services,,,19680819,ON,Canada
TSX,Alaris Royalty Corp.,AD,Financial Services,,Other,20081118,AB,Canada
TSX,Atrium Mortgage Investment Corporation,AI,Financial Services,,Other,20120904,ON,Canada
TSX,Bank of Montreal,BMO,Financial Services,,,19220609,ON,Canada
TSX,Bank of Nova Scotia (The),BNS,Financial Services,,,19190516,ON,Canada
TSX,BIP Investment Corporation,BIK,Financial Services,,IPO,20190205,BC,Canada
TSX,Brookfield Asset Management Inc.,BAM,Financial Services,,,19790820,ON,Canada
TSX,Brookfield Property Split Corp.,BPS,Financial Services,,Other,20140611,ON,Canada
TSX,Callidus Capital Corporation,CBL,Financial Services,,IPO,20140423,ON,Canada
TSX,Canaccord Genuity Group Inc.,CF,Financial Services,,IPO,20040629,BC,Canada
TSX,Canadian Imperial Bank Of Commerce,CM,Financial Services,,,19610602,ON,Canada
TSX,Canadian Western Bank,CWB,Financial Services,,,19840514,AB,Canada
TSX,Canopy Rivers Inc.,RIV,Financial Services,Cannabis,TSXV Grad,20190909,ON,Canada
TSX,Ceres Global Ag Corp.,CRP,Financial Services,,IPO,20071220,ON,Canada
TSX,Chesswood Group Limited,CHW,Financial Services,,IPO,20060509,ON,Canada
TSX,CI Financial Corp.,CIX,Financial Services,,,19940620,ON,Canada
TSX,Clairvest Group Inc.,CVG,Financial Services,,,19870506,ON,Canada
TSX,Co-operators General Insurance Company,CCS,Financial Services,,,19970610,ON,Canada
TSX,Crown Capital Partners Inc.,CRWN,Financial Services,,IPO,20150709,AB,Canada
TSX,Currency Exchange International Corp.,CXI,Financial Services,,IPO,20120309,USA,USA
TSX,Cymbria Corporation,CYB,Financial Services,,IPO,20081104,ON,Canada
TSX,Dundee Corporation,DC,Financial Services,,,19911030,ON,Canada
TSX,Echelon Financial Holdings Inc.,EFH,Financial Services,,IPO,20051207,ON,Canada
TSX,ECN Capital Corp.,ECN,Financial Services,,Other,20160928,ON,Canada
TSX,E-L Financial Corporation Limited,ELF,Financial Services,,,19690107,ON,Canada
TSX,Equitable Group Inc.,EQB,Financial Services,,IPO,20040317,ON,Canada
TSX,Exchange Income Corporation,EIF,Financial Services,,TSXV Grad,20080317,MB,Canada
TSX,Fairfax Africa Holdings Corporation,FAH,Financial Services,,IPO,20170217,ON,Canada
TSX,Fairfax Financial Holdings Limited,FFH,Financial Services,,,19720914,ON,Canada
TSX,Fairfax India Holdings Corporation,FIH,Financial Services,,IPO,20150130,ON,Canada
TSX,Fiera Capital Corporation,FSZ,Financial Services,,,19860811,Quebec,Canada
TSX,Firm Capital Mortgage Investment Corporation,FC,Financial Services,,,19991006,ON,Canada
TSX,First National Financial Corporation,FN,Financial Services,,IPO,20060614,ON,Canada
TSX,Genworth MI Canada Inc.,MIC,Financial Services,,IPO,20090706,ON,Canada
TSX,GMP Capital Inc.,GMP,Financial Services,,IPO,20031208,ON,Canada
TSX,goeasy Ltd.,GSY,Financial Services,,Other,19950503,ON,Canada
TSX,GoldMoney Inc.,XAU,Financial Services,,TSXV Grad,20160421,ON,Canada
TSX,Great-West Lifeco Inc.,GWO,Financial Services,,,19860626,MB,Canada
TSX,Guardian Capital Group Limited,GCG,Financial Services,,,19690522,ON,Canada
TSX,Home Capital Group Inc.,HCG,Financial Services,,,19820107,ON,Canada
TSX,iA Financial Corporation,IAG,Financial Services,,IPO,20000210,Quebec,Canada
TSX,IGM Financial Inc.,IGM,Financial Services,,,19861112,MB,Canada
TSX,Intact Financial Corporation,IFC,Financial Services,,IPO,20041214,ON,Canada
TSX,Laurentian Bank Of Canada,LB,Financial Services,,,19830506,Quebec,Canada
TSX,Manulife Financial Corporation,MFC,Financial Services,,IPO,19990930,ON,Canada
TSX,MCAN Mortgage Corporation,MKP,Financial Services,,,19920116,ON,Canada
TSX,Mogo Inc.,MOGO,Financial Services,,TSXV Grad,20131021,BC,Canada
TSX,National Bank of Canada,NA,Financial Services,,,19791101,Quebec,Canada
TSX,Olympia Financial Group Inc.,OLY,Financial Services,,TSXV Grad,20130909,AB,Canada
TSX,ONEX Corporation,ONEX,Financial Services,,,19870430,ON,Canada
TSX,Pinetree Capital Ltd.,PNP,Financial Services,,TSXV Grad,20010911,ON,Canada
TSX,Power Corporation Of Canada,POW,Financial Services,,,19360302,Quebec,Canada
TSX,Power Financial Corporation,PWF,Financial Services,,,19841010,Quebec,Canada
TSX,Royal Bank of Canada,RY,Financial Services,,,19180702,ON,Canada
TSX,Senvest Capital Inc.,SEC,Financial Services,,,19831011,Quebec,Canada
TSX,Sprott Inc.,SII,Financial Services,,IPO,20080514,ON,Canada
TSX,Sprott Resource Holdings Inc.,SRHI,Financial Services,,Other,20170213,ON,Canada
TSX,Street Capital Group Inc.,SCB,Financial Services,,,19860619,ON,Canada
TSX,Sun Life Financial Inc.,SLF,Financial Services,,IPO,20000329,ON,Canada
TSX,Sunwah International Limited,SWH,Financial Services,,TSXV Grad,20021017,Hong Kong,Asia
TSX,The Empire Life Insurance Company,EML,Financial Services,,IPO,20160216,ON,Canada
TSX,Timbercreek Financial Corp.,TF,Financial Services,,IPO,20080704,ON,Canada
TSX,TMX Group Limited,X,Financial Services,,IPO,20021104,ON,Canada
TSX,Toronto-Dominion Bank (The),TD,Financial Services,,,19550202,ON,Canada
TSX,Trez Capital Senior Mortgage Investment Corporation,TZS,Financial Services,,IPO,20121212,BC,Canada
TSX,Tricon Capital Group Inc.,TCN,Financial Services,,IPO,20100520,ON,Canada
TSX,Trisura Group Ltd.,TSU,Financial Services,,Other,20170530,ON,Canada
TSX,Uranium Participation Corporation,U,Financial Services,,IPO,20050509,ON,Canada
TSX,Urbana Corporation,URB,Financial Services,,TSXV Grad,20070110,ON,Canada
TSX,VersaBank,VB,Financial Services,,IPO,20130827,ON,Canada
TSX,Wilmington Capital Management Inc.,WCM,Financial Services,,,19721130,ON,Canada
TSX,Acadian Timber Corp.,ADN,Industrial Products & Services,Forest Products & Paper,IPO,20060130,BC,Canada
TSX,ADF Group Inc.,DRX,Industrial Products & Services,,,19990720,Quebec,Canada
TSX,Aecon Group Inc.,ARE,Industrial Products & Services,,,19871231,ON,Canada
TSX,AG Growth International Inc.,AFN,Industrial Products & Services,Agriculture,,20040517,MB,Canada
TSX,Akita Drilling Ltd.,AKT,Industrial Products & Services,Energy Services,,19930108,AB,Canada
TSX,Algoma Central Corporation,ALC,Industrial Products & Services,,,19580527,ON,Canada
TSX,AltaGas Ltd.,ALA,Industrial Products & Services,Energy Services,TSXV Grad,20000117,AB,Canada
TSX,ATS Automation Tooling Systems Inc.,ATA,Industrial Products & Services,,,19931221,ON,Canada
TSX,Avcorp Industries Inc.,AVP,Industrial Products & Services,,,19961127,BC,Canada
TSX,Badger Daylighting Ltd.,BAD,Industrial Products & Services,Energy Services,,19970605,AB,Canada
TSX,Bird Construction Inc.,BDT,Industrial Products & Services,,TSXV Grad,20060227,ON,Canada
TSX,Black Diamond Group Limited,BDI,Industrial Products & Services,,IPO,20060925,AB,Canada
TSX,Bombardier Inc.,BBD,Industrial Products & Services,,,19460502,Quebec,Canada
TSX,Boyd Group Income Fund,BYD,Industrial Products & Services,,Other,19991116,MB,Canada
TSX,Boyuan Construction Group Inc.,BOY,Industrial Products & Services,,TSXV Grad,20100614,China,Asia
TSX,Brampton Brick Limited,BBL,Industrial Products & Services,,,19861113,ON,Canada
TSX,Bri-Chem Corp.,BRY,Industrial Products & Services,Energy Services,TSXV Grad,20110704,AB,Canada
TSX,Brookfield Infrastructure Partners L.P.,BIP,Industrial Products & Services,,Other,20090910,Bermuda,Other
TSX,Buhler Industries Inc.,BUI,Industrial Products & Services,Agriculture,,19880804,MB,Canada
TSX,Caldwell Partners International Inc. (The),CWL,Industrial Products & Services,,,19890627,ON,Canada
TSX,Calfrac Well Services Ltd.,CFW,Industrial Products & Services,Energy Services,,19600408,AB,Canada
TSX,Canadian National Railway Company,CNR,Industrial Products & Services,,,19951117,Quebec,Canada
TSX,Canadian Pacific Railway Limited,CP,Industrial Products & Services,,Other,20011003,AB,Canada
TSX,Canfor Corporation,CFP,Industrial Products & Services,Forest Products & Paper,,19841003,BC,Canada
TSX,Canfor Pulp Products Inc.,CFX,Industrial Products & Services,Forest Products & Paper,Other,20060706,BC,Canada
TSX,CanWel Building Materials Group Ltd.,CWX,Industrial Products & Services,,IPO,20040512,BC,Canada
TSX,Cargojet Inc.,CJT,Industrial Products & Services,,IPO,20050608,ON,Canada
TSX,Cathedral Energy Services Ltd.,CET,Industrial Products & Services,Energy Services,,19870925,AB,Canada
TSX,CCL Industries Inc.,CCL,Industrial Products & Services,,,19800627,ON,Canada
TSX,Cervus Equipment Corporation,CERV,Industrial Products & Services,Agriculture,TSXV Grad,20110131,AB,Canada
TSX,CES Energy Solutions Corp.,CEU,Industrial Products & Services,Energy Services,IPO,20060301,AB,Canada
TSX,Chemtrade Logistics Income Fund,CHE,Industrial Products & Services,,,20010717,ON,Canada
TSX,Chorus Aviation Inc.,CHR,Industrial Products & Services,,IPO,20060201,NS,Canada
TSX,Clarke Inc.,CKI,Industrial Products & Services,,,19980316,NS,Canada
TSX,ClearStream Energy Services Inc.,CSM,Industrial Products & Services,Energy Services,IPO,20050805,AB,Canada
TSX,Conifex Timber Inc.,CFF,Industrial Products & Services,Forest Products & Paper,TSXV Grad,20140520,BC,Canada
TSX,Data Communications Management Corp.,DCM,Industrial Products & Services,,IPO,20041220,ON,Canada
TSX,Diversified Royalty Corp.,DIV,Industrial Products & Services,,TSXV Grad,20141009,BC,Canada
TSX,Element Fleet Management Corp.,EFN,Industrial Products & Services,,TSXV Grad,20111216,ON,Canada
TSX,Enerflex Ltd.,EFX,Industrial Products & Services,Energy Services,Other,20110603,AB,Canada
TSX,Ensign Energy Services Inc.,ESI,Industrial Products & Services,Energy Services,TSXV Grad,19930625,AB,Canada
TSX,Enterprise Group Inc.,E,Industrial Products & Services,Energy Services,TSXV Grad,20070813,AB,Canada
TSX,ENTREC Corporation,ENT,Industrial Products & Services,,TSXV Grad,20140609,AB,Canada
TSX,Essential Energy Services Ltd.,ESN,Industrial Products & Services,Energy Services,Other,20060529,AB,Canada
TSX,Exco Technologies Limited,XTC,Industrial Products & Services,,,19861020,ON,Canada
TSX,Finning International Inc.,FTT,Industrial Products & Services,,,19691023,BC,Canada
TSX,Foraco International SA,FAR,Industrial Products & Services,Energy Services,IPO,20070801,France,UK/Europe
TSX,Fortress Global Enterprises Inc.,FGE,Industrial Products & Services,Forest Products & Paper,IPO,20070627,BC,Canada
TSX,GDI Integrated Facility Services Inc.,GDI,Industrial Products & Services,,TSXV Grad,20150514,Quebec,Canada
TSX,Geodrill Limited,GEO,Industrial Products & Services,Mining Services,IPO,20101215,Ghana,Africa
TSX,Gibson Energy Inc.,GEI,Industrial Products & Services,Energy Services,IPO,20110614,AB,Canada
TSX,Goodfellow Inc.,GDL,Industrial Products & Services,Forest Products & Paper,,19991206,Quebec,Canada
TSX,Hammond Manufacturing Company Limited,HMM,Industrial Products & Services,,,19860610,ON,Canada
TSX,Hammond Power Solutions Inc.,HPS,Industrial Products & Services,,,20010110,ON,Canada
TSX,Hanwei Energy Services Corp.,HE,Industrial Products & Services,Energy Services,TSXV Grad,20070917,China,Asia
TSX,Hardwoods Distribution Inc.,HDI,Industrial Products & Services,,IPO,20040322,BC,Canada
TSX,Heroux-Devtek Inc.,HRX,Industrial Products & Services,,,19991206,Quebec,Canada
TSX,High Arctic Energy Services Inc.,HWO,Industrial Products & Services,Energy Services,IPO,20050720,AB,Canada
TSX,Horizon North Logistics Inc.,HNL,Industrial Products & Services,Energy Services,TSXV Grad,20070528,AB,Canada
TSX,IBI Group Inc.,IBG,Industrial Products & Services,,IPO,20040830,ON,Canada
TSX,INSCAPE Corporation,INQ,Industrial Products & Services,,,19971209,ON,Canada
TSX,Interfor Corporation,IFP,Industrial Products & Services,Forest Products & Paper,,19720529,BC,Canada
TSX,Intertape Polymer Group Inc.,ITP,Industrial Products & Services,,,19930106,Quebec,Canada
TSX,IPL Plastics Inc.,IPLP,Industrial Products & Services,,IPO,20180628,Ireland,UK/Europe
TSX,K-Bro Linen Inc.,KBL,Industrial Products & Services,,IPO,20050202,AB,Canada
TSX,Kelso Technologies Inc.,KLS,Industrial Products & Services,,TSXV Grad,20140522,BC,Canada
TSX,Linamar Corporation,LNR,Industrial Products & Services,,,19860129,ON,Canada
TSX,Logistec Corporation,LGT,Industrial Products & Services,,,19690924,Quebec,Canada
TSX,Magellan Aerospace Corporation,MAL,Industrial Products & Services,,,19460923,ON,Canada
TSX,Magna International Inc.,MG,Industrial Products & Services,,,19621220,ON,Canada
TSX,Major Drilling Group International Inc.,MDI,Industrial Products & Services,Mining Services,,19950308,NB,Canada
TSX,Martinrea International Inc.,MRE,Industrial Products & Services,,,19970919,ON,Canada
TSX,McCoy Global Inc.,MCB,Industrial Products & Services,Energy Services,,19971118,AB,Canada
TSX,Methanex Corporation,MX,Industrial Products & Services,,,19730706,BC,Canada
TSX,Morneau Shepell Inc.,MSI,Industrial Products & Services,,IPO,20050929,ON,Canada
TSX,Mullen Group Ltd.,MTL,Industrial Products & Services,Energy Services,,19931213,AB,Canada
TSX,Neo Performance Materials Inc.,NEO,Industrial Products & Services,,IPO,20171208,ON,Canada
TSX,Norbord Inc.,OSB,Industrial Products & Services,Forest Products & Paper,,19870707,ON,Canada
TSX,North American Construction Group Ltd.,NOA,Industrial Products & Services,Energy Services,IPO,20061127,AB,Canada
TSX,Orbit Garant Drilling Inc.,OGD,Industrial Products & Services,Mining Services,IPO,20080625,Quebec,Canada
TSX,Parkland Fuel Corporation,PKI,Industrial Products & Services,,,19840106,AB,Canada
TSX,Pason Systems Inc.,PSI,Industrial Products & Services,Energy Services,TSXV Grad,19971224,AB,Canada
TSX,PHX Energy Services Corp.,PHX,Industrial Products & Services,Energy Services,TSXV Grad,20030324,AB,Canada
TSX,Precision Drilling Corporation,PD,Industrial Products & Services,Energy Services,TSXV Grad,19880923,AB,Canada
TSX,Pulse Seismic Inc.,PSD,Industrial Products & Services,Energy Services,TSXV Grad,20011121,AB,Canada
TSX,Resolute Forest Products Inc.,RFP,Industrial Products & Services,Forest Products & Paper,Other,20101209,Quebec,Canada
TSX,Richards Packaging Income Fund,RPI,Industrial Products & Services,,IPO,20040407,ON,Canada
TSX,Richelieu Hardware Ltd.,RCH,Industrial Products & Services,,,19930726,Quebec,Canada
TSX,Ritchie Bros. Auctioneers Incorporated,RBA,Industrial Products & Services,,Other,20040127,BC,Canada
TSX,Rocky Mountain Dealerships Inc.,RME,Industrial Products & Services,Agriculture,IPO,20071219,AB,Canada
TSX,Russel Metals Inc.,RUS,Industrial Products & Services,,,19431216,ON,Canada
TSX,Savaria Corporation,SIS,Industrial Products & Services,,TSXV Grad,20030320,Quebec,Canada
TSX,Secure Energy Services Inc.,SES,Industrial Products & Services,Energy Services,IPO,20100330,AB,Canada
TSX,ShawCor Ltd.,SCL,Industrial Products & Services,Energy Services,,19690627,ON,Canada
TSX,SNC-Lavalin Group Inc.,SNC,Industrial Products & Services,,,19861010,Quebec,Canada
TSX,Source Energy Services Ltd.,SHLE,Industrial Products & Services,Energy Services,IPO,20170413,AB,Canada
TSX,Spark Power Group Inc.,SPG,Industrial Products & Services,,QA,20180905,ON,Canada
TSX,Stantec Inc.,STN,Industrial Products & Services,,,19940329,AB,Canada
