Exchange,Name,Root Ticker,Sector,SubSector,Listing Type,Date of TSX ListingYYYYMMDD,HQLocation,HQRegion
TSX,Freehold Royalties Ltd.,FRU,Oil & Gas,,,19961125,AB,Canada
TSX,Frontera Energy Corporation,FEC,Oil & Gas,,Other,20161103,Colombia,Latin America
TSX,Gear Energy Ltd.,GXE,Oil & Gas,,Other,20131118,AB,Canada
TSX,Gran Tierra Energy Inc.,GTE,Oil & Gas,,Other,20080219,AB,Canada
TSX,Granite Oil Corp.,GXO,Oil & Gas,,TSXV Grad,20101020,AB,Canada
TSX,Husky Energy Inc.,HSE,Oil & Gas,,,20000828,AB,Canada
TSX,Imperial Oil Limited,IMO,Oil & Gas,,,19211125,AB,Canada
TSX,InPlay Oil Corp.,IPO,Oil & Gas,,Other,20161110,AB,Canada
TSX,International Petroleum Corporation,IPCO,Oil & Gas,,Other,20170424,BC,Canada
TSX,Journey Energy Inc.,JOY,Oil & Gas,,IPO,20140619,AB,Canada
TSX,Kelt Exploration Ltd.,KEL,Oil & Gas,,Other,20130301,AB,Canada
TSX,MEG Energy Corp.,MEG,Oil & Gas,,IPO,20100806,AB,Canada
TSX,NuVista Energy Ltd.,NVA,Oil & Gas,,Other,20030707,AB,Canada
TSX,Obsidian Energy Ltd.,OBE,Oil & Gas,,,19800801,AB,Canada
TSX,Oryx Petroleum Corporation Limited,OXC,Oil & Gas,,IPO,20130515,AB,Canada
TSX,Painted Pony Energy Ltd.,PONY,Oil & Gas,,TSXV Grad,20131017,AB,Canada
TSX,Paramount Resources Ltd.,POU,Oil & Gas,,Other,20050406,AB,Canada
TSX,Parex Resources Inc.,PXT,Oil & Gas,,TSXV Grad,20111003,AB,Canada
TSX,Pengrowth Energy Corporation,PGF,Oil & Gas,,,19890116,AB,Canada
TSX,Perpetual Energy Inc.,PMT,Oil & Gas,,Other,20030207,AB,Canada
TSX,Petrus Resources Ltd.,PRQ,Oil & Gas,,Other,20160208,AB,Canada
TSX,Peyto Exploration & Development Corp.,PEY,Oil & Gas,,TSXV Grad,20010528,AB,Canada
TSX,Pine Cliff Energy Ltd.,PNE,Oil & Gas,,TSXV Grad,20160303,AB,Canada
TSX,Prairie Provident Resources Inc.,PPR,Oil & Gas,,Other,20160916,AB,Canada
TSX,PrairieSky Royalty Ltd.,PSK,Oil & Gas,,IPO,20140529,AB,Canada
TSX,Questerre Energy Corporation,QEC,Oil & Gas,,,20030721,AB,Canada
TSX,Seven Generations Energy Ltd.,VII,Oil & Gas,,IPO,20141105,AB,Canada
TSX,Storm Resources Ltd.,SRX,Oil & Gas,,TSXV Grad,20170927,AB,Canada
TSX,Suncor Energy Inc.,SU,Oil & Gas,,,19660117,AB,Canada
TSX,Surge Energy Inc.,SGY,Oil & Gas,,TSXV Grad,20111021,AB,Canada
TSX,TAG Oil Ltd.,TAO,Oil & Gas,,TSXV Grad,20110716,BC,Canada
TSX,Tamarack Valley Energy Ltd.,TVE,Oil & Gas,,TSXV Grad,20150824,AB,Canada
TSX,TORC Oil & Gas Ltd.,TOG,Oil & Gas,,Other,20051107,AB,Canada
TSX,Toscana Energy Income Corporation,TEI,Oil & Gas,,TSXV Grad,20131122,AB,Canada
TSX,Touchstone Exploration Inc.,TXP,Oil & Gas,,TSXV Grad,19970317,AB,Canada
TSX,Tourmaline Oil Corp.,TOU,Oil & Gas,,IPO,20101123,AB,Canada
TSX,TransAtlantic Petroleum Ltd.,TNP,Oil & Gas,,,19950116,USA,USA
TSX,TransGlobe Energy Corporation,TGL,Oil & Gas,,,19971107,AB,Canada
TSX,Valeura Energy Inc.,VLE,Oil & Gas,,TSXV Grad,20110915,AB,Canada
TSX,Vermilion Energy Inc.,VET,Oil & Gas,,TSXV Grad,19960627,AB,Canada
TSX,Whitecap Resources Inc.,WCP,Oil & Gas,,TSXV Grad,20101018,AB,Canada
TSX,Yangarra Resources Ltd.,YGR,Oil & Gas,,TSXV Grad,20140627,AB,Canada
TSX,Zargon Oil & Gas Ltd.,ZAR,Oil & Gas,,,19940329,AB,Canada
TSX,AltaGas Canada Inc.,ACI,Utilities & Pipelines,,IPO,20181025,AB,Canada
TSX,Atco Ltd.,ACO,Utilities & Pipelines,,,19680308,AB,Canada
TSX,Canadian Utilities Limited,CU,Utilities & Pipelines,,,19460312,AB,Canada
TSX,Capital Power Corporation,CPX,Utilities & Pipelines,,IPO,20090708,AB,Canada
TSX,Caribbean Utilities Company Ltd.,CUP,Utilities & Pipelines,,,19900910,Cayman Islands,Other
TSX,CU Inc.,CIU,Utilities & Pipelines,,Other,20070417,AB,Canada
TSX,Emera Incorporated,EMA,Utilities & Pipelines,,,19990106,NS,Canada
TSX,Enbridge Inc.,ENB,Utilities & Pipelines,,,19530215,AB,Canada
TSX,Fortis Inc.,FTS,Utilities & Pipelines,,,19691119,NL,Canada
TSX,Hydro One Limited,H,Utilities & Pipelines,,IPO,20151105,ON,Canada
TSX,Inter Pipeline Ltd.,IPL,Utilities & Pipelines,,,19971127,AB,Canada
TSX,Just Energy Group Inc.,JE,Utilities & Pipelines,,Other,20010427,ON,Canada
TSX,Keyera Corp.,KEY,Utilities & Pipelines,,IPO,20030529,AB,Canada
TSX,Kinder Morgan Canada Limited,KML,Utilities & Pipelines,,IPO,20170530,AB,Canada
TSX,Maxim Power Corp.,MXG,Utilities & Pipelines,,TSXV Grad,20050623,AB,Canada
TSX,Pembina Pipeline Corporation,PPL,Utilities & Pipelines,,,19971024,AB,Canada
TSX,Superior Plus Corp.,SPB,Utilities & Pipelines,,,19961007,ON,Canada
TSX,TC Energy Corporation,TRP,Utilities & Pipelines,,,20030515,AB,Canada
TSX,TransAlta Corporation,TA,Utilities & Pipelines,,,19921231,AB,Canada
TSX,Westcoast Energy Inc.,W,Utilities & Pipelines,,,19610728,BC,Canada
TSX,Agnico Eagle Mines Limited,AEM,Mining,,,19571227,ON,Canada
TSX,Alacer Gold Corp.,ASR,Mining,,TSXV Grad,20030718,USA,USA
TSX,Alamos Gold Inc.,AGI,Mining,,TSXV Grad,20040621,ON,Canada
TSX,Alderon Iron Ore Corp.,IRON,Mining,,TSXV Grad,20111012,BC,Canada
TSX,Alexco Resource Corp.,AXU,Mining,,IPO,20060125,BC,Canada
TSX,Alio Gold Inc.,ALO,Mining,,TSXV Grad,20110323,BC,Canada
TSX,Almaden Minerals Ltd.,AMM,Mining,,TSXV Grad,19900518,BC,Canada
TSX,Almonty Industries Inc.,AII,Mining,,TSXV Grad,20180601,ON,Canada
TSX,Altius Minerals Corporation,ALS,Mining,,TSXV Grad,20070115,NL,Canada
TSX,Americas Gold and Silver Corporation,USA,Mining,,TSXV Grad,20061018,ON,Canada
TSX,Amerigo Resources Ltd.,ARG,Mining,,TSXV Grad,20040323,BC,Canada
TSX,Anaconda Mining Inc.,ANX,Mining,,TSXV Grad,20070418,ON,Canada
TSX,Anglo Pacific Group PLC,APY,Mining,,Other,20100709,UK,UK/Europe
TSX,Aquila Resources Inc.,AQA,Mining,,TSXV Grad,20070528,ON,Canada
TSX,Argonaut Gold Inc.,AR,Mining,,TSXV Grad,20091230,USA,USA
TSX,Asanko Gold Inc.,AKG,Mining,,TSXV Grad,20081222,BC,Canada
TSX,Ascendant Resources Inc.,ASND,Mining,,TSXV Grad,20170720,ON,Canada
TSX,Atalaya Mining plc,AYM,Mining,,IPO,20101220,Cyprus,UK/Europe
TSX,Aura Minerals Inc.,ORA,Mining,,Other,20060725,BC,Canada
TSX,Auryn Resources Inc.,AUG,Mining,,TSXV Grad,20161101,BC,Canada
TSX,Avalon Advanced Materials Inc.,AVL,Mining,,TSXV Grad,20080228,ON,Canada
TSX,Avesoro Resources Inc.,ASO,Mining,,Other,20110413,UK,UK/Europe
TSX,Avino Silver & Gold Mines Ltd.,ASM,Mining,,TSXV Grad,20180108,BC,Canada
TSX,Azarga Uranium Corp.,AZZ,Mining,,TSXV Grad,20071101,USA,USA
TSX,B2Gold Corp.,BTO,Mining,,TSXV Grad,20081023,BC,Canada
TSX,Balmoral Resources Ltd.,BAR,Mining,,TSXV Grad,20130816,BC,Canada
TSX,Barrick Gold Corporation,ABX,Mining,,,19830502,ON,Canada
TSX,Belo Sun Mining Corp.,BSX,Mining,,TSXV Grad,20120216,ON,Canada
TSX,Black Iron Inc.,BKI,Mining,,IPO,20110328,ON,Canada
TSX,Caledonia Mining Corporation Plc,CAL,Mining,,,19870623,ON,Canada
TSX,Cameco Corporation,CCO,Mining,,,19910704,SK,Canada
TSX,Canarc Resource Corp.,CCM,Mining,,,19941103,BC,Canada
TSX,Candente Copper Corp.,DNT,Mining,,TSXV Grad,20041118,BC,Canada
TSX,Capstone Mining Corp.,CS,Mining,,TSXV Grad,20040728,BC,Canada
TSX,Cardinal Resources Limited,CDV,Mining,,Other,20170710,Australia,Australia/NZ/PNG
TSX,Centamin plc,CEE,Mining,,Other,20070404,UK,UK/Europe
TSX,Centerra Gold Inc.,CG,Mining,,IPO,20040629,ON,Canada
TSX,Century Global Commodities Corporation,CNT,Mining,,TSXV Grad,20110919,Hong Kong,Asia
TSX,Chalice Gold Mines Limited,CXN,Mining,,Other,20101126,Australia,Australia/NZ/PNG
TSX,Champion Iron Limited,CIA,Mining,,Other,20140331,Australia,Australia/NZ/PNG
TSX,China Gold International Resources Corp. Ltd.,CGG,Mining,,TSXV Grad,20061006,China,Asia
TSX,Clean TeQ Holdings Limited,CLQ,Mining,,Other,20171215,Australia,Australia/NZ/PNG
TSX,Columbus Gold Corp.,CGT,Mining,,TSXV Grad,20160126,BC,Canada
TSX,Condor Gold plc,COG,Mining,,Other,20180115,UK,UK/Europe
TSX,Continental Gold Inc.,CNL,Mining,,TSXV Grad,20100419,ON,Canada
TSX,Copper Mountain Mining Corporation,CMMC,Mining,,TSXV Grad,20080919,BC,Canada
TSX,Coro Mining Corp.,COP,Mining,,IPO,20070709,BC,Canada
TSX,Corvus Gold Inc.,KOR,Mining,,Other,20100830,BC,Canada
TSX,Denison Mines Corp.,DML,Mining,,Other,20040312,ON,Canada
TSX,Detour Gold Corporation,DGC,Mining,,IPO,20070130,ON,Canada
TSX,Dundee Precious Metals Inc.,DPM,Mining,,,19831101,ON,Canada
TSX,Dynacor Gold Mines Inc.,DNG,Mining,,Other,20071024,Quebec,Canada
TSX,Eastern Platinum Limited,ELR,Mining,,TSXV Grad,20050110,BC,Canada
TSX,Eastmain Resources Inc.,ER,Mining,,,19961101,ON,Canada
TSX,Eldorado Gold Corporation,ELD,Mining,,,19931022,BC,Canada
TSX,Endeavour Mining Corporation,EDV,Mining,,TSXV Grad,20031120,Cayman Islands,Other
TSX,Endeavour Silver Corp.,EDR,Mining,,TSXV Grad,20060207,BC,Canada
TSX,Energy Fuels Inc.,EFR,Mining,,TSXV Grad,20070319,USA,USA
TSX,Entree Resources Ltd.,ETG,Mining,,TSXV Grad,20060424,BC,Canada
TSX,Erdene Resource Development Corporation,ERD,Mining,,TSXV Grad,20051214,NS,Canada
TSX,Ero Copper Corp.,ERO,Mining,,IPO,20171019,BC,Canada
TSX,Euro Sun Mining Inc.,ESM,Mining,,Other,20160912,ON,Canada
TSX,Euromax Resources Ltd.,EOX,Mining,,TSXV Grad,20160711,UK,UK/Europe
TSX,Excellon Resources Inc.,EXN,Mining,,TSXV Grad,20080204,ON,Canada
TSX,Excelsior Mining Corp.,MIN,Mining,,TSXV Grad,20170202,BC,Canada
TSX,First Majestic Silver Corp.,FR,Mining,,TSXV Grad,20080115,BC,Canada
TSX,First Mining Gold Corp.,FF,Mining,,TSXV Grad,20170622,BC,Canada
TSX,First Quantum Minerals Ltd.,FM,Mining,,TSXV Grad,20000111,BC,Canada
TSX,Fission Uranium Corp.,FCU,Mining,,TSXV Grad,20141008,BC,Canada
TSX,Forsys Metals Corp.,FSY,Mining,,TSXV Grad,20061017,ON,Canada
TSX,Fortuna Silver Mines Inc.,FVI,Mining,,TSXV Grad,20100118,Peru,Latin America
TSX,Fortune Minerals Limited,FT,Mining,,,19971031,ON,Canada
TSX,Franco-Nevada Corporation,FNV,Mining,,IPO,20071219,ON,Canada
TSX,Freegold Ventures Limited,FVL,Mining,,,19980519,BC,Canada
TSX,General Moly Inc.,GMO,Mining,,Other,20080214,USA,USA
TSX,Global Atomic Corporation,GLO,Mining,,TSXV Grad,20190508,ON,Canada
TSX,Globex Mining Enterprises Inc.,GMX,Mining,,,19951227,Quebec,Canada
TSX,GoGold Resources Inc.,GGD,Mining,,TSXV Grad,20130122,NS,Canada
TSX,Gold Standard Ventures Corp.,GSV,Mining,,TSXV Grad,20171011,BC,Canada
TSX,Golden Minerals Company,AUMN,Mining,,Other,20090716,USA,USA
TSX,Golden Star Resources Ltd.,GSC,Mining,,,19870727,USA,USA
TSX,Goldgroup Mining Inc.,GGA,Mining,,TSXV Grad,20060926,ON,Canada
TSX,Goldmining Inc.,GOLD,Mining,,TSXV Grad,20180619,BC,Canada
TSX,Gran Colombia Gold Corp.,GCM,Mining,,TSXV Grad,20101222,Colombia,Latin America
TSX,Great Panther Mining Limited,GPR,Mining,,TSXV Grad,20061114,BC,Canada
TSX,Guyana Goldfields Inc.,GUY,Mining,,TSXV Grad,20040308,ON,Canada
TSX,Harte Gold Corp.,HRT,Mining,,TSXV Grad,20110606,ON,Canada
TSX,Horizonte Minerals Plc,HZM,Mining,,Other,20110617,UK,UK/Europe
TSX,HudBay Minerals Inc.,HBM,Mining,,TSXV Grad,20041224,ON,Canada
TSX,IAMGold Corporation,IMG,Mining,,,19960308,ON,Canada
TSX,Imperial Metals Corporation,III,Mining,,,19841227,BC,Canada
TSX,International Tower Hill Mines Ltd.,ITH,Mining,,TSXV Grad,20091201,USA,USA
TSX,INV Metals Inc.,INV,Mining,,IPO,20060316,ON,Canada
TSX,Ivanhoe Mines Ltd.,IVN,Mining,,IPO,20121023,BC,Canada
TSX,Jaguar Mining Inc.,JAG,Mining,,TSXV Grad,20160803,ON,Canada
TSX,Josemaria Resources Inc.,JOSE,Mining,,,19940714,BC,Canada
TSX,Karnalyte Resources Inc.,KRN,Mining,Agriculture,IPO,20101214,AB,Canada
TSX,Katanga Mining Limited,KAT,Mining,,TSXV Grad,20060628,UK,UK/Europe
TSX,Kerr Mines Inc.,KER,Mining,,Other,20060818,ON,Canada
TSX,Kinross Gold Corporation,K,Mining,,,19830726,ON,Canada
TSX,Kirkland Lake Gold Ltd.,KL,Mining,,Other,19941109,ON,Canada
TSX,Labrador Iron Ore Royalty Corporation,LIF,Mining,,IPO,19951128,ON,Canada
TSX,Laramide Resources Ltd.,LAM,Mining,,TSXV Grad,20060808,ON,Canada
TSX,Largo Resources Ltd.,LGO,Mining,,TSXV Grad,20160704,ON,Canada
TSX,Leagold Mining Corporation,LMC,Mining,,TSXV Grad,20170720,BC,Canada
TSX,Liberty Gold Corp.,LGD,Mining,,Other,20110411,BC,Canada
TSX,Lithium Americas Corp.,LAC,Mining,,TSXV Grad,20110202,BC,Canada
TSX,Loncor Resources Inc.,LN,Mining,,TSXV Grad,20130426,ON,Canada
TSX,Lucara Diamond Corp.,LUC,Mining,,TSXV Grad,20110829,BC,Canada
TSX,Lundin Gold Inc.,LUG,Mining,,TSXV Grad,20141219,BC,Canada
TSX,Lundin Mining Corporation,LUN,Mining,,TSXV Grad,20040812,ON,Canada
TSX,Lydian International Limited,LYD,Mining,,TSXV Grad,20080110,Channel Islands,UK/Europe
TSX,MAG Silver Corp.,MAG,Mining,,TSXV Grad,20071005,BC,Canada
TSX,Mandalay Resources Corporation,MND,Mining,,TSXV Grad,20100625,ON,Canada
TSX,Marathon Gold Corporation,MOZ,Mining,,Other,20101203,ON,Canada
TSX,Maverix Metals Inc.,MMX,Mining,,TSXV Grad,20190625,BC,Canada
TSX,Mawson Resources Limited,MAW,Mining,,TSXV Grad,20080212,BC,Canada
TSX,Maya Gold & Silver Inc.,MYA,Mining,,TSXV Grad,20180731,Quebec,Canada
TSX,McEwen Mining Inc.,MUX,Mining,,Other,20060830,ON,Canada
TSX,Mega Uranium Ltd.,MGA,Mining,,TSXV Grad,20060906,ON,Canada
TSX,Midas Gold Corp.,MAX,Mining,,IPO,20110714,BC,Canada
TSX,Minco Silver Corporation,MSV,Mining,,IPO,20051201,China,Asia
TSX,Monarch Gold Corporation,MQR,Mining,,TSXV Grad,20181115,Quebec,Canada
TSX,Moneta Porcupine Mines Inc.,ME,Mining,,,19110701,ON,Canada
TSX,Mountain Province Diamonds Inc.,MPVD,Mining,,,19990122,ON,Canada
TSX,Nemaska Lithium Inc.,NMX,Mining,,TSXV Grad,20160708,Quebec,Canada
TSX,Nevada Copper Corp.,NCU,Mining,,TSXV Grad,20070816,BC,Canada
TSX,New Gold Inc.,NGD,Mining,,TSXV Grad,20021231,BC,Canada
TSX,New Millennium Iron Corp.,NML,Mining,,TSXV Grad,20111019,AB,Canada
TSX,Newmont Goldcorp Corporation,NGT,Mining,,Other,20190422,USA,USA
TSX,Nexa Resources S.A.,NEXA,Mining,,IPO,20171031,Brazil,Latin America
TSX,NexGen Energy Ltd.,NXE,Mining,,TSXV Grad,20160715,BC,Canada
TSX,NextSource Materials Inc.,NEXT,Mining,,TSXV Grad,20110616,ON,Canada
TSX,Nickel Creek Platinum Corp.,NCP,Mining,,TSXV Grad,20141204,ON,Canada
TSX,Nighthawk Gold Corp.,NHK,Mining,,TSXV Grad,20170529,ON,Canada
TSX,NioCorp Developments Ltd.,NB,Mining,,TSXV Grad,20150309,USA,USA
TSX,Noranda Income Fund,NIF,Mining,,IPO,20020502,ON,Canada
TSX,North American Palladium Ltd.,PDL,Mining,,Other,19681219,ON,Canada
TSX,Northcliff Resources Ltd.,NCF,Mining,,TSXV Grad,20120202,BC,Canada
TSX,Northern Dynasty Minerals Ltd.,NDM,Mining,,TSXV Grad,20071030,BC,Canada
TSX,NorZinc Ltd.,NZC,Mining,,,19931207,BC,Canada
TSX,Novagold Resources Inc.,NG,Mining,,,19870626,BC,Canada
TSX,Nutrien Ltd.,NTR,Mining,Agriculture,Other,20180102,SK,Canada
TSX,OceanaGold Corporation,OGC,Mining,,Other,20070627,Australia,Australia/NZ/PNG
TSX,Orla Mining Ltd.,OLA,Mining,,TSXV Grad,20181101,BC,Canada
TSX,Orocobre Limited,ORL,Mining,,Other,20100615,Australia,Australia/NZ/PNG
TSX,Orosur Mining Inc.,OMI,Mining,,TSXV Grad,20120514,Chile,Latin America
TSX,Orvana Minerals Corp.,ORV,Mining,,,19530407,ON,Canada
TSX,Osisko Gold Royalties Ltd.,OR,Mining,,Other,20140616,Quebec,Canada
TSX,Osisko Mining Inc.,OSK,Mining,,IPO,20121220,ON,Canada
TSX,Pan American Silver Corp.,PAAS,Mining,,TSXV Grad,19841009,BC,Canada
TSX,Perseus Mining Limited,PRU,Mining,,Other,20100203,Australia,Australia/NZ/PNG
TSX,Platinum Group Metals Ltd.,PTM,Mining,,TSXV Grad,20050608,South Africa,Africa
TSX,Polymet Mining Corp.,POM,Mining,,TSXV Grad,20070201,USA,USA
TSX,Premier Gold Mines Limited,PG,Mining,,Other,20060822,ON,Canada
TSX,Pretium Resources Inc.,PVG,Mining,,IPO,20101221,BC,Canada
TSX,Prophecy Development Corp.,PCY,Mining,,TSXV Grad,20111019,BC,Canada
TSX,Roxgold Inc.,ROXG,Mining,,TSXV Grad,20170330,ON,Canada
TSX,Royal Nickel Corporation,RNX,Mining,,IPO,20101216,ON,Canada
TSX,RTG Mining Inc.,RTG,Mining,,Other,20110104,Australia,Australia/NZ/PNG
TSX,Rubicon Minerals Corporation,RMX,Mining,,TSXV Grad,20030917,BC,Canada
